value,count
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:344,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:345,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:346,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:347,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:348,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:349,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:350,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:351,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:352,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:353,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:354,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:355,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:356,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:357,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:358,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:359,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:360,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:361,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:362,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:363,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:364,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:365,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:366,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:367,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:368,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:369,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:370,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:371,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:372,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:373,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:374,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:375,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:376,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:377,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:378,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:379,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:380,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:381,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:382,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:383,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:384,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:385,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:386,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:387,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:388,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:389,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:390,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:391,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:392,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:393,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:394,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:395,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:396,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:397,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:398,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:399,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:400,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:401,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:402,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:403,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:404,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:405,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:406,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:407,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:408,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:409,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:410,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:411,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:412,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:413,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:414,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:415,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:416,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:417,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:418,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:419,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:420,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:421,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:422,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:423,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:424,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:425,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:426,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:427,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:428,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:429,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:430,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:431,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:432,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:433,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:434,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:435,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:436,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:437,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:438,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:439,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:440,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:441,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:442,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:443,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:444,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:445,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:446,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:447,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:448,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:449,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:450,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:451,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:452,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:453,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:454,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:455,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:456,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:457,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:458,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:459,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:460,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:461,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:462,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:463,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:464,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:465,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:466,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:467,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:468,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:469,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:470,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:471,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:472,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:473,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:474,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:475,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:476,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:477,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:478,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:479,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:480,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:481,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:482,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:483,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:484,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:485,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:486,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:487,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:488,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:489,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:490,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:491,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:492,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:493,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:494,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:495,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:496,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:497,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:498,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:499,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:500,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:501,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:502,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:503,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:504,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:505,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:506,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:507,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:508,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:509,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:510,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:511,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:512,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:513,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:514,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:515,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:516,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:517,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:518,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:519,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:520,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:521,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:522,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:523,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:524,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:525,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:526,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:527,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:528,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:529,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:530,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:531,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:532,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:533,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:534,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:535,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:536,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:537,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:538,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:539,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:540,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:541,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:542,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:543,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:544,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:545,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:546,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:547,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:548,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:549,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:550,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:551,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:552,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:553,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:554,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:555,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:556,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:557,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:558,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:559,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:560,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:561,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:562,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:563,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:564,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:565,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:566,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:567,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:568,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:569,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:570,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:571,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:572,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:573,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:574,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:575,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:576,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:577,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:578,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:579,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:580,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:581,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:582,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:583,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:584,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:585,1
